--------------------------------------------------------------------------------
File Name:                	TXBoard1.stdf
Lot ID:                   	Default

Test #   Test Name                                   Count         Mean           SD           Min          Max        Range    QC-Lo-Lim    QC-Hi-Lim    Units   
  1630   TxBrd_P166_6571_DIO_29_HSD_LO_Voltage          60       2.9863   0.4544E-03        2.9854       2.9871       0.0017        2.500        3.500   V
  1640   TxBrd_P166_6571_DIO_30_HSD_LO_Voltage          60       2.9854   0.4076E-03        2.9847       2.9864       0.0017        2.500        3.500   V
  1650   TxBrd_P166_6571_DIO_31_HSD_LO_Voltage          60       2.9856   0.4559E-03        2.9850       2.9867       0.0017        2.500        3.500   V
  1660   TxBrd_P170_6571_DIO_1_HSD_LO_Voltage           60       2.9867       0.0011        2.9855       2.9883       0.0028        2.500        3.500   V
  1670   TxBrd_P170_6571_DIO_2_HSD_LO_Voltage           60       2.9865       0.0011        2.9848       2.9883       0.0035        2.500        3.500   V
  1680   TxBrd_P170_6571_DIO_3_HSD_LO_Voltage           60       2.9869       0.0011        2.9855       2.9883       0.0028        2.500        3.500   V
  1690   TxBrd_P170_6571_DIO_5_HSD_LO_Voltage           60       2.9840   0.5880E-03        2.9829       2.9851       0.0022        2.500        3.500   V
  1700   TxBrd_P170_6571_DIO_6_HSD_LO_Voltage           60       2.9833   0.5195E-03        2.9824       2.9842       0.0019        2.500        3.500   V
  1710   TxBrd_P170_6571_DIO_7_HSD_LO_Voltage           60       2.9836   0.5229E-03        2.9827       2.9846       0.0019        2.500        3.500   V
  1720   TxBrd_P170_6571_DIO_9_HSD_LO_Voltage           60       2.9874       0.0011        2.9857       2.9889       0.0032        2.500        3.500   V
  1730   TxBrd_P170_6571_DIO_10_HSD_LO_Voltage          60       2.9868   0.9815E-03        2.9855       2.9882       0.0028        2.500        3.500   V
  1740   TxBrd_P170_6571_DIO_11_HSD_LO_Voltage          60       2.9871   0.9879E-03        2.9860       2.9885       0.0026        2.500        3.500   V
  1750   TxBrd_P170_6571_DIO_13_HSD_LO_Voltage          60       2.9855   0.6716E-03        2.9843       2.9867       0.0024        2.500        3.500   V
  1760   TxBrd_P170_6571_DIO_14_HSD_LO_Voltage          60       2.9858   0.5927E-03        2.9845       2.9868       0.0023        2.500        3.500   V
  1770   TxBrd_P170_6571_DIO_15_HSD_LO_Voltage          60       2.9861   0.4485E-03        2.9852       2.9876       0.0024        2.500        3.500   V
  1780   TxBrd_P170_6571_DIO_17_HSD_LO_Voltage          60       2.9863       0.0015        2.9845       2.9882       0.0037        2.500        3.500   V
  1790   TxBrd_P170_6571_DIO_18_HSD_LO_Voltage          60       2.9862       0.0015        2.9844       2.9881       0.0037        2.500        3.500   V
  1800   TxBrd_P170_6571_DIO_19_HSD_LO_Voltage          60       2.9859       0.0014        2.9840       2.9878       0.0038        2.500        3.500   V
  1810   TxBrd_P170_6571_DIO_21_HSD_LO_Voltage          60       2.9876   0.8122E-03        2.9863       2.9891       0.0028        2.500        3.500   V
  1820   TxBrd_P170_6571_DIO_22_HSD_LO_Voltage          60       2.9877   0.7421E-03        2.9866       2.9888       0.0021        2.500        3.500   V
  1830   TxBrd_P170_6571_DIO_23_HSD_LO_Voltage          60       2.9875   0.6467E-03        2.9866       2.9887       0.0021        2.500        3.500   V
